setId,setName,setTotal,releaseOrder,description,setType
37TH,歩道橋,3,250201,,S
25-FEB-I,2025.February,3,250202,オフショルニット,S
25-VALEN,2025.Valentine,5,250203,,V
GRAD-YODA-I,与田祐希卒業コンサートTシャツ,3,250204,,S
GRAD-YODA-II,与田祐希卒業コンサート,3,250205,ごんぞうカチューシャ,S
25-FEB-II,2025.February-II,4,250206,37th制服,C
25-FEB-III,2025.February-III,3,250207,紅白2024衣装,S
25-FEB-IV,2025.February-IV,3,250208,スペシャル衣装44,S
SG-NATSUKASHI,懐かしさの先,3,250209,,S
25-MAR-I,2025.March,3,250301,スペシャル衣装45,S
25-MAR-II,2025.March-II,3,250302,ファー,S
25-MAR-III,2025.March-III,3,250303,ジップアップコーデ,S
37TH-UNDER,それまでの猶予,3,250401,,S
25-APR-I,2025.April,3,250402,カレッジ,S
25-APR-II,2025.April-II,3,250403,シャギーアンサンブル,S
38TH-MV,ネーブルオレンジ 選抜ver.,5,250404,,V
38TH,ネーブルオレンジ,3,250501,,S
25-MAY-I,2025.May,3,250502,ボヘミアン,S
25-MAY-II,2025.May-II,4,250503,スペシャル衣装46,C
13BD-ANNV,13th Anniversary,5,250504,,K
13BD-T,13th Birthday Live,3,250505,,S
25-MAY-III,2025.May-III,3,250506,レイヤードトップス,S
25-MAY-IV,2025.May-IV,3,250507,デニムワンピ,S
25-MAY-V,2025.May-V,3,250508,ビッグボウタイブラウス,S
38TH-UNDER,交感神経優位,3,250601,,S
25-JUN-I,2025.June,3,250602,38th制服,S
25-JUL-I,2025.July,3,250701,ベースボールシャツ2025,S
25-JUL-II,2025.July-II,5,250702,浴衣,K
25-HOKKAIDO,真夏の全国ツアー2025 北海道ver.,3,250703,,S
25-JUL-III,2025.July-III,3,250704,フリルミニスカ,S
25-SHIZUOKA,真夏の全国ツアー2025 静岡ver.,3,250705,,S
25-JUL-IV,2025.July-IV,3,250706,メッシュニット,S
25-OSAKA,真夏の全国ツアー2025 大阪ver.,3,250707,,S
25-JUL-V,2025.July-V,3,250708,ドット,S
25-JUL-VI,2025.July-VI,3,250709,真夏の全国ツアー2025 Tシャツ Bver.,S
25-AUG-I,2025.August,3,250801,13thBDライブ衣装1,S
39TH-MV,Same Numbers 選抜ver.,5,250802,,V
25-MIYAGI,真夏の全国ツアー2025 宮城ver.,3,250803,,S
25-AUG-II,2025.August-II,3,250804,スウェット,S
25-FUKUOKA,真夏の全国ツアー2025 福岡ver.,3,250805,,S
25-AUG-III,2025.August-III,3,250806,シャーリングワンピ,S
25-KAGAWA,真夏の全国ツアー2025 香川ver.,3,250807,,S
25-AUG-IV,2025.August-IV,3,250808,アシンメトリー,S
25-AUG-V,2025.August-V,3,250809,13thBDライブ衣装2,S
39TH,Same Numbers,3,250901,,S
25-TOKYO,真夏の全国ツアー2025 東京ver.,3,250902,,S
25-SPECIAL,真夏の全国ツアー2025 Special,3,250903,,S
25-SEP-I,2025.September,3,250904,サマージャケット,S
25-HALLO,2025.Halloween,5,250905,,V
25-SEP-II,2025.September-II,3,250906,肩あきトップス,S
25-SEP-III,2025.September-III,3,250907,スパンコール,S
25-OCT-I,2025.October,3,251001,39th制服,S
25-NOV-I,2025.November,3,251101,スペシャル衣装47,S
25-XMAS,2025.Christmas,5,251102,,V
25-NOV-II,2025.November-II,3,251103,スカーフ,S
GRAD-SHIORI-I,久保史緒里卒業コンサートTシャツ,3,251104,,S
GRAD-SHIORI-II,久保史緒里卒業コンサート,3,251105,襟付きコーデ,S
39TH-UNDER,不道徳な夏,3,251201,,S
25-DEC-I,2025.December,4,251202,40th制服,C
26-JAN-I,2026.January,3,260101,ボアコート,S
26-JAN-II,2026.January-II,3,260102,クロップドジャケット,S
ALB-5TH-LIVE,My Respect 5th Album Memorial Live,3,260201,,S
26-FEB-I,2026.February,3,260202,スペシャル服装48,S
26-FEB-II,2026.February-II,3,260203,,S
26-FEB-III,2026.February-III,3,260204,,S
26-FEB-IV,2026.February-IV,3,260205,,S
26-FEB-V,2026.February-V,3,260206,,S
26-FEB-VI,2026.February-VI,3,260207,,S
26-FEB-VII,2026.February-VII,3,260208,,S
26-MAR-I,2026.March,3,260301,,S
40TH,ビリヤニ,3,260302,,S
26-MAR-II,2026.March-II,3,260303,,S
26-MAR-III,2026.March-III,3,260304,,S
40TH-UNDER,純粋とは何か？,3,260305,,S
26-APR-I,2026.April,3,260401,,S
26-APR-II,2026.April-II,3,260402,,S
