setId,setName,setTotal,releaseOrder,description
29TH-5GEN,絶望の一秒前,5,220401,
29TH-UNDER,届かなくたって…,3,220501,
10BD-TW,10th Birthday Live(白),3,220502,
10BD-TP,10th Birthday Live(紫),3,220503,
29TH,Actually…,3,220504,
22-MAY-II,2022.May-II,3,220505,フェイクファー
22-MAY-III,2022.May-III,3,220506,フロントボタントップス
22-MAY-IV,2022.May-IV,3,220507,チョーカーデザイン
22-JUN-I,2022.June,3,220601,夏パジャマ
22-JUN-II,2022.June-II,3,220602,ノースリーブニット
22-JUN-III,2022.June-III,3,220603,麦わら帽子
5GEN,5期生お見立て会,3,220604,
22-JUN-IV,2022.June-IV,8,220605,10thBDライブ衣装
22-JUL-I,2022.July,3,220701,真夏の全国ツアー2022 Tシャツ 共通ver.
22-OSAKA,真夏の全国ツアー2022 大阪ver.,3,220702,
22-JUL-II,2022.July-II,5,220703,浴衣
22-JUL-III,2022.July-III,3,220704,刺繍
22-HIROSHIMA,真夏の全国ツアー2022 広島ver.,3,220705,
22-JUL-IV,2022.July-IV,3,220706,アウトドア
22-FUKUOKA,真夏の全国ツアー2022 福岡ver.,3,220707,
22-JUL-V,2022.July-V,3,220708,メッシュニット
22-HOKKAIDO,真夏の全国ツアー2022 北海道ver.,3,220801,
22-MIYAGI,真夏の全国ツアー2022 宮城ver.,3,220802,
22-AUG-I,2022.August,3,220803,サマーベスト
22-AICHI,真夏の全国ツアー2022 愛知ver.,3,220804,
22-AUG-II,2022.August-II,3,220805,ビビットトップス
22-AUG-III,2022.August-III,3,220806,アシメフリル
22-TOKYO,真夏の全国ツアー2022 東京ver.,3,220807,
22-SPECIAL,真夏の全国ツアー2022 Special,3,220808,
22-AUG-IV,2022.August-IV,3,220809,ストライプ
22-SEP-I,2022.September,3,220901,マリンルック
22-SEP-II,2022.September-II,3,220902,オフィスカジュアル
30TH-5GEN,バンドエイドを剝がすような別れ方,5,220903,
30TH,好きというのはロックだぜ,3,221001,
22-HALLO,2022.Halloween,5,221002,
22-OCT-I,2022.October,3,221003,ウィンドウペンチェック
22-OCT-II,2022.October-II,3,221004,ポップ
GRAD-HIGUCHI,樋口日奈卒業セレモニー,3,221005,
30TH-UNDER,Under's Love…,3,221101,
22-NOV-I,2022.November,8,221102,真夏の全国ツアー2022衣装
22-DEC-I,2022.December,3,221201,スペシャル衣装35
22-DEC-II,2022.December-II,3,221202,ゴルフウェア
22-DEC-III,2022.December-III,3,221203,ハーフジップ
22-XMAS,2022.Christmas,5,221204,
22-DEC-IV,2022.December-IV,3,221205,ジャガード
22-DEC-V,2022.December-V,3,221206,ケーブルニット
23-LUCKY-I,2023.Lucky Bag(パ),3,230101,パステル
23-LUCKY-II,2023.Lucky Bag(カ),3,230102,カレンダー衣装
23-NEW,Happy New Year! 2023,3,230103,
